Specie,X,Y
Galerella pulverulenta,18.497863,-34.060704
Panthera pardus,31.65617,-24.373203
Crocuta crocuta,31.638947,-24.962971
Caracal caracal,23.44713,-33.579268
Caracal caracal,18.386694,-34.263975
Crocuta crocuta,31.957548,-28.22741
Panthera leo,31.916848,-25.109654
Panthera pardus,20.157913,-33.490059
Otocyon megalotis,22.190855,-33.627872
Panthera leo,27.050557,-25.221108
Galerella sanguinea,31.409511,-23.529631
Cynictis penicillata,20.612068,-26.474329
Panthera pardus,31.924028,-25.024064
Genetta genetta,23.410402,-28.913202
Herpestes ichneumon,18.990007,-34.17923
Panthera pardus,31.792217,-24.397606
Panthera leo,20.498088,-25.539064
Panthera leo,31.684829,-24.839337
Acinonyx jubatus,28.14618,-24.937407
Mungos mungo,30.753741,-30.282718
Cynictis penicillata,24.556759,-31.885812
Crocuta crocuta,31.514657,-25.440855
Panthera pardus,19.067416,-33.431495
Panthera leo,31.956822,-25.176495
Mungos mungo,31.723435,-25.387621
Crocuta crocuta,31.459154,-24.99013
Suricata suricatta,28.279839,-25.895563
Galerella pulverulenta,18.864921,-33.365018
Aonyx capensis,28.513874,-26.33152
Galerella pulverulenta,18.807692,-34.03844
Otocyon megalotis,24.941595,-30.718205
Panthera leo,31.766516,-23.94283
Lycaon pictus,31.609127,-24.998744
Crocuta crocuta,31.545097,-23.981991
Cynictis penicillata,20.333687,-28.591243
Panthera leo,26.363621,-24.759631
Lycaon pictus,31.10217,-24.372082
Panthera leo,31.690641,-24.255501
Panthera pardus,31.535491,-23.991712
Genetta tigrina,23.556482,-33.980697
Panthera leo,31.207479,-23.873546
Otocyon megalotis,18.669733,-32.388338
Ictonyx striatus,21.301661,-29.252886
Galerella pulverulenta,18.87591,-34.367231
Panthera leo,31.279697,-23.100201
Acinonyx jubatus,20.565136,-26.017168
Helogale parvula,31.895954,-25.103263
Crocuta crocuta,31.692518,-24.114942
Helogale parvula,30.942547,-25.343058
Panthera leo,25.721515,-33.585831
Panthera pardus,31.525745,-25.463609
Cynictis penicillata,25.793184,-33.443198
Genetta tigrina,19.057553,-32.372693
Panthera leo,31.909082,-28.387785
Panthera leo,31.480887,-24.470048
Panthera pardus,31.101393,-22.648112
Mungos mungo,31.764886,-25.371546
Panthera leo,31.717143,-25.08863
Panthera leo,25.930912,-33.422081
Panthera pardus,27.043516,-25.369244
Atilax paludinosus,29.143131,-28.208677
Crocuta crocuta,31.307555,-23.203437
Crocuta crocuta,26.266612,-24.724805
Acinonyx jubatus,31.745031,-24.393802
Rhynchogale melleri,30.895566,-25.482815
Acinonyx jubatus,31.879187,-25.203929
Felis catus,30.917675,-29.831786
Cynictis penicillata,20.277827,-33.833067
Galerella pulverulenta,20.364876,-33.956589
Acinonyx jubatus,31.745506,-24.33816
Panthera leo,31.760622,-24.395163
Panthera leo,32.088761,-28.195273
Panthera pardus,27.801214,-23.972296
Galerella pulverulenta,18.345984,-34.043058
Leptailurus serval,29.859036,-29.363705
Civettictis civetta,29.272925,-22.344757
Acinonyx jubatus,30.851037,-24.15356
Atilax paludinosus,22.461221,-33.943107
Galerella sanguinea,30.10682,-25.583357
Galerella sanguinea,31.108285,-22.649798
Crocuta crocuta,31.55474,-23.988385
Panthera leo,27.055577,-25.228348
Panthera pardus,30.957029,-24.050445
Hyaena brunnea,27.210779,-25.219488
Crocuta crocuta,31.729545,-24.270326
Lycaon pictus,31.725052,-24.901296
Crocuta crocuta,30.886517,-24.20094
Galerella pulverulenta,18.421683,-33.601091
Crocuta crocuta,31.68999,-25.36177
Crocuta crocuta,31.59174,-25.008891
Panthera leo,31.821042,-28.136672
Atilax paludinosus,28.514244,-26.35873
Galerella pulverulenta,19.160189,-32.46241
Crocuta crocuta,31.489997,-24.997094
Genetta tigrina,18.457923,-34.257816
Caracal caracal,18.383042,-34.269525
Panthera leo,31.87623,-25.065111
Crocuta crocuta,31.175801,-23.941489
Otocyon megalotis,22.037081,-33.149338
Mungos mungo,32.332164,-27.747989
Mungos mungo,31.601664,-24.992666
Caracal caracal,19.245958,-32.675295
Mellivora capensis,20.337812,-33.829252
Crocuta crocuta,31.731062,-25.344335
Panthera leo,31.655901,-24.542869
Panthera leo,22.524872,-32.240372
Proteles cristata,29.581587,-22.814739
Lycaon pictus,31.745473,-24.958118
Helogale parvula,31.930563,-25.110651
