Species,Lon,Lat
Artibeus lituratus,-77.356811,6.275306
Artibeus lituratus,-77.347541,6.266433
Artibeus lituratus,-78.98509,9.31049
Artibeus lituratus,-78.98605,9.30966
Artibeus lituratus,-78.99393,9.30746
Artibeus lituratus,-78.98605,9.30966
Artibeus lituratus,-78.98605,9.30966
Artibeus lituratus,-78.99407,9.3076
Artibeus lituratus,-78.986,9.30978
Artibeus lituratus,-40.599716,-19.935798
Artibeus lituratus,-73.63769,4.151382
Artibeus lituratus,-74.167917,10.662
Artibeus lituratus,-74.06345,10.9914
Artibeus lituratus,-74.06345,10.9914
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-85.325908,10.367512
Artibeus lituratus,-73.391861,4.433944
Artibeus lituratus,-71.76725,6.277056
Artibeus lituratus,-71.76725,6.277056
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-101.640861,17.686
Artibeus lituratus,-71.772222,6.330167
Artibeus lituratus,-71.772222,6.330167
Artibeus lituratus,-74.363806,7.120278
Artibeus lituratus,-74.359472,7.119
Artibeus lituratus,-74.359472,7.119
Artibeus lituratus,-77.981962,8.475491
Artibeus lituratus,-77.72946,8.0167
Artibeus lituratus,-77.981962,8.475491
Artibeus lituratus,-77.72946,8.0167
Artibeus lituratus,-77.982126,8.475542
Artibeus lituratus,-77.72946,8.0167
Artibeus lituratus,-77.981962,8.475491
Artibeus lituratus,-77.981962,8.475491
Artibeus lituratus,-77.72946,8.0167
Artibeus lituratus,-77.981962,8.475491
Artibeus lituratus,-104.991889,21.484444
Artibeus lituratus,-81.20287,8.583215
Artibeus lituratus,-81.20287,8.583215
Artibeus lituratus,-81.20287,8.583215
Artibeus lituratus,-81.20287,8.583215
Artibeus lituratus,-81.202877,8.583215
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-92.271699,14.903885
Artibeus lituratus,-74.322778,7.689472
Artibeus lituratus,-75.1575,9.928611
Artibeus lituratus,-75.1575,9.928611
Artibeus lituratus,-97.142275,16.098884
Artibeus lituratus,-97.142275,16.098884
Artibeus lituratus,-72.491472,5.230167
Artibeus lituratus,-72.4755,5.230278
Artibeus lituratus,-72.493861,5.229056
Artibeus lituratus,-75.045196,5.619753
Artibeus lituratus,-76.96725,7.651528
Artibeus lituratus,-70.10032,-12.56921
Artibeus lituratus,-70.10032,-12.56921
Artibeus lituratus,-70.10032,-12.56921
Artibeus lituratus,-85.325908,10.367512
Artibeus lituratus,-85.325908,10.367512
Artibeus lituratus,-85.325908,10.367512
Artibeus lituratus,-98.933444,16.744972
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-81.145395,8.531004
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-80.580885,8.628374
Artibeus lituratus,-74.816672,4.851611
Artibeus lituratus,-74.90859,5.00329
Artibeus lituratus,-74.737872,5.343025
Artibeus lituratus,-74.737872,5.343025
Artibeus lituratus,-73.853,4.13232
Artibeus lituratus,-101.640861,17.686
Artibeus lituratus,-98.933444,16.744972
Artibeus lituratus,-101.562611,17.657333
Artibeus lituratus,-101.640861,17.686
Artibeus lituratus,-101.562611,17.657333
Artibeus lituratus,-74.911028,5.0165
Artibeus lituratus,-74.90859,5.00329
Artibeus lituratus,-74.90825,4.99975
Artibeus lituratus,-74.81525,4.848861
Artibeus lituratus,-74.90859,5.00329
Artibeus lituratus,-74.80775,4.851242
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.627778,5.720278
Artibeus lituratus,-72.635389,7.530861
Artibeus lituratus,-58.90547,4.24497
Artibeus lituratus,-58.50978,4.28451
Artibeus lituratus,-58.50978,4.28451
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-75.481384,5.064441
Artibeus lituratus,-42.033367,-21.634579
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-72.635083,7.538583
Artibeus lituratus,-75.688889,4.822778
Artibeus lituratus,-74.907583,4.999722
Artibeus lituratus,-74.911028,5.009833
Artibeus lituratus,-74.907583,4.999778
Artibeus lituratus,-77.09028,8.11389
Artibeus lituratus,-75.532711,5.066347
Artibeus lituratus,-75.65471,4.69711
Artibeus lituratus,-75.638889,4.682278
Artibeus lituratus,-76.670673,3.743981
Artibeus lituratus,-74.81525,4.848861
Artibeus lituratus,-75.494518,5.056126
Artibeus lituratus,-76.688222,3.743278
Artibeus lituratus,-80.041509,9.189133
Artibeus lituratus,-40.539444,-19.965
Artibeus lituratus,-74.907639,4.99975
Artibeus lituratus,-58.00593,4.75821
Artibeus lituratus,-58.00593,4.75821
Artibeus lituratus,-58.00593,4.75821
Artibeus lituratus,-58.00593,4.75821
Artibeus lituratus,-58.17619,4.18726
Artibeus lituratus,-58.17619,4.18726
Artibeus lituratus,-75.445932,5.053814
Artibeus lituratus,-75.532711,5.066347
Artibeus lituratus,-75.532711,5.066347
Artibeus lituratus,-42.028077,-22.404339
Artibeus lituratus,-42.028077,-22.404339
Artibeus lituratus,-42.028077,-22.404339
Artibeus lituratus,-75.608667,4.790167
Artibeus lituratus,-74.941083,5.570528
Artibeus lituratus,-41.286381,-21.761667
Artibeus lituratus,-41.286381,-21.761667
Artibeus lituratus,-41.286381,-21.761667
Artibeus lituratus,-71.787833,4.526861
Artibeus lituratus,-73.114611,5.236194
Artibeus lituratus,-73.114611,5.236194
Artibeus lituratus,-75.633194,2.382917
Artibeus lituratus,-75.633194,2.382917
Artibeus lituratus,-92.641528,16.734875
Artibeus lituratus,-92.641528,16.734875
Artibeus lituratus,-92.641528,16.734875
Artibeus lituratus,-71.926389,6.384361
Artibeus lituratus,-71.926389,6.384361
Artibeus lituratus,-72.635083,7.538583
Artibeus lituratus,-71.943333,6.401806
Artibeus lituratus,-71.926389,6.384361
Artibeus lituratus,-71.926389,6.384361
Artibeus lituratus,-92.645075,16.753653
Artibeus lituratus,-76.39404,-0.67546
Artibeus lituratus,-76.39663,-0.67588
Artibeus lituratus,-76.39754,-0.67362
Artibeus lituratus,-76.39754,-0.67362
Artibeus lituratus,-76.39754,-0.67362
Artibeus lituratus,-79.13,9.13
Artibeus lituratus,-76.39936,-0.67224
Artibeus lituratus,-76.39936,-0.67224
Artibeus lituratus,-76.39936,-0.67224
Artibeus lituratus,-90.41611,14.15172
Artibeus lituratus,-58.71775,4.73186
Artibeus lituratus,-58.71775,4.73186
Artibeus lituratus,-58.71775,4.73186
Artibeus lituratus,-58.50848,4.28784
Artibeus lituratus,-58.50848,4.28784
Artibeus lituratus,-76.538644,3.780131
Artibeus lituratus,-76.707917,3.58625
Artibeus lituratus,-94.633408,16.247456
Artibeus lituratus,-94.607083,16.369667
Artibeus lituratus,-59.08286,4.17972
Artibeus lituratus,-59.08286,4.17972
Artibeus lituratus,-59.08286,4.17972
Artibeus lituratus,-59.08286,4.17972
Artibeus lituratus,-82.59,9.36
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-76.717778,-5.858611
Artibeus lituratus,-76.604444,-5.883889
Artibeus lituratus,-92.155389,14.985697
Artibeus lituratus,-92.155389,14.985697
Artibeus lituratus,-92.159364,15.165192
Artibeus lituratus,-92.159364,15.165192
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-90.692097,14.388282
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-99.371292,17.470914
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-74.981944,3.922778
Artibeus lituratus,-76.586778,3.566417
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-76.57,5.667778
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-59.33706,2.182021
Artibeus lituratus,-74.816722,4.851611
Artibeus lituratus,-74.90859,5.00329
Artibeus lituratus,-92.921944,15.479722
Artibeus lituratus,-92.689,15.34875
Artibeus lituratus,-92.921944,15.479722
Artibeus lituratus,-103.67955,19.47176
Artibeus lituratus,-75.621167,4.917028
Artibeus lituratus,-76.128647,5.285353
Artibeus lituratus,-76.128647,5.285353
Artibeus lituratus,-76.128647,5.285353
Artibeus lituratus,-76.152633,5.330575
Artibeus lituratus,-76.152633,5.330575
Artibeus lituratus,-76.128647,5.285353
Artibeus lituratus,-142.83,69.55
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-73.65011,-4.89927
Artibeus lituratus,-90.30436,13.84435
Artibeus lituratus,-90.30436,13.84435
Artibeus lituratus,-90.30436,13.84435
Artibeus lituratus,-90.30436,13.84435
Artibeus lituratus,-90.30436,13.84435
Artibeus lituratus,-75.689306,2.312389
Artibeus lituratus,-74.984379,5.331109
Artibeus lituratus,-76.372889,3.902833
Artibeus lituratus,-76.372889,3.902833
Artibeus lituratus,-55.38479,2.97741
Artibeus lituratus,-55.38479,2.97741
Artibeus lituratus,-55.62941,2.47705
Artibeus lituratus,-78.23,8.69
Artibeus lituratus,-76.631389,3.763611
Artibeus lituratus,-76.631389,3.763611
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-90.90828,16.195319
Artibeus lituratus,-75.503111,5.574556
Artibeus lituratus,-94.4067,18.01342
Artibeus lituratus,-94.3569,18.1074
Artibeus lituratus,-94.4067,18.01342
Artibeus lituratus,-76.474722,2.991667
Artibeus lituratus,-75.554861,5.391194
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.11604,18.69491
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-95.18011,18.08026
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-90.05789,18.7215
Artibeus lituratus,-75.78725,5.09625
Artibeus lituratus,-75.793722,5.089556
Artibeus lituratus,-75.52375,5.391917
Artibeus lituratus,-99.52567,21.79169
Artibeus lituratus,-99.52567,21.79169
Artibeus lituratus,-76.534722,3.374444
Artibeus lituratus,-58.50979,4.28455
Artibeus lituratus,-58.50979,4.28455
Artibeus lituratus,-58.50979,4.28455
Artibeus lituratus,-58.50979,4.28455
Artibeus lituratus,-58.50979,4.28455
Artibeus lituratus,-74.818389,4.180458
Artibeus lituratus,-74.818389,4.180458
Artibeus lituratus,-82.43,8.76
Artibeus lituratus,-76.534722,3.374444
Artibeus lituratus,-58.92122,4.38374
Artibeus lituratus,-77.82,8.3
Artibeus lituratus,-78.4,8.92
Artibeus lituratus,-105.2435,21.5835
Artibeus lituratus,-105.2435,21.5835
Artibeus lituratus,-105.277833,21.541833
Artibeus lituratus,-105.277833,21.541833
Artibeus lituratus,-105.277833,21.541833
Artibeus lituratus,-105.277833,21.541833
Artibeus lituratus,-105.277833,21.541833
